autor,titulo,abandonos,relendo,querem_ler,lendo,leram,genero_literario,genero,grau_popularidade
Fiódor Dostoiévski,Crime e Castigo,2,179,41,4,32,Suspense,Feminino,Baixa
Maurice Leblanc,O Ladrão de Casaca,15,2,474,39,928,Suspense,Feminino,Baixa
Bram Stoker,Drácula,1,101,19,2,31,Suspense,Feminino,Baixa
Edgar Allan Poe,Histórias Extraordinárias,403,51,6,911,14,Suspense,Feminino,Baixa
Sir Arthur Conan Doyle,O Signo Dos Quatro,113,15,3,277,17,Suspense,Feminino,Baixa
Sir Arthur Conan Doyle,Um Estudo Em Vermelho,401,59,6,951,39,Suspense,Feminino,Baixa
Sir Arthur Conan Doyle,O Cão dos Baskerville,324,33,5,415,30,Suspense,Feminino,Baixa
Sir Arthur Conan Doyle,O Vale do Terror,66,9,2,132,7,Suspense,Feminino,Baixa
Mary Shelley,Frankenstein ou O Prometeu Moderno,405,48,17,1,24,Suspense,Feminino,Baixa
Machado de Assis,Esaú e Jacó,487,13,2,256,9,Suspense,Feminino,Baixa
Bram Stoker,Frankenstein; O Médico e o Monstro; Drácula,41,6,1,212,1,Suspense,Feminino,Baixa
Joaquim Manuel de Macedo,O Moço Loiro,31,3,296,33,971,Suspense,Feminino,Baixa
Sir Arthur Conan Doyle,As Aventuras de Sherlock Holmes,197,23,5,828,13,Suspense,Feminino,Baixa
Sir Arthur Conan Doyle,A Volta de Sherlock Holmes,25,6,2,112,5,Suspense,Feminino,Baixa
L. Frank Baum,Contos de Fadas Norte-Americanos,1,0,120,7,189,Suspense,Feminino,Baixa
Sir Arthur Conan Doyle,Os Arquivos de Sherlock Holmes,1,0,277,14,372,Suspense,Feminino,Baixa
Robert Louis Stevenson,O Médico e o Monstro,322,21,8,572,24,Suspense,Feminino,Baixa
Lewis Wallace,Ben-Hur,30,2,980,99,1,Suspense,Feminino,Baixa
