titulo,autor,editora,media_avaliacao,total_avaliacoes,genero_literario,grau_popularidade
Revenge - Treinamento Para Vingança,Jesse Lasky,Planeta,3.8,365,Suspense,Baixa
A Desconhecida,Mary Kubica,Planeta,3.8,368,Suspense,Baixa
A Garota Inglesa,Daniel Silva,Arqueiro,3.8,152,Suspense,Baixa
Lua de Mel,James Patterson,Arqueiro,3.8,683,Suspense,Baixa
Bela Gentileza,Diane Hoh,Rocco,3.8,124,Suspense,Baixa
Território Lovecraft,Matt Ruff,Intrínseca,3.8,950,Suspense,Baixa
Única Filha, Anna Snoekstra ,HarperCollins,3.8,866,Suspense,Baixa
A Herdeira,Daniel Silva,HarperCollins,3.8,79,Suspense,Baixa
Tempo Estranho,Joe Hill,HarperCollins,3.8,189,Suspense,Baixa
Ninguém Pode Saber,Karin Slaughter,HarperCollins,3.8,373,Suspense,Baixa
O Estranho,Camilla Läckberg,Planeta,3.8,251,Suspense,Baixa
O Caso do Marquês Desaparecido,Nancy Springer,Verus,3.8,472,Suspense,Baixa
Advogado do Diabo,Jonathan Maberry,HarperCollins,3.7,123,Suspense,Baixa
O Nome da Estrela (The Name of the Star),Maureen Johnson,Rocco,3.7,409,Suspense,Baixa
A Sonâmbula,Diane Hoh,Rocco,3.7,139,Suspense,Baixa
O Canto dos Segredos,Tana French,Rocco,3.7,58,Suspense,Baixa
Atração Fatal,Diane Hoh,Rocco,3.7,77,Suspense,Baixa
Desejos Macabros,Diane Hoh,Rocco,3.7,93,Suspense,Baixa
O Pesadelo,Lars Kepler,Intrínseca,3.7,726,Suspense,Baixa
O Testamento,John Grisham,Rocco,3.7,888,Suspense,Baixa
A essência do mal,Luca D'Andrea,Intrínseca,3.7,696,Suspense,Baixa
Inspeção,Josh Malerman,Intrínseca,3.7,390,Suspense,Baixa
Em Águas Profundas,Patricia Highsmith,Intrínseca,3.7,100,Suspense,Baixa
Você Está Sendo Vigiado,Gregg Hurwitz,Arqueiro,3.7,812,Suspense,Baixa
A Profecia do Paraíso,Robert Browne,Planeta,3.7,99,Suspense,Baixa
Dexter Está Morto,Jeff Lindsay,Planeta,3.7,386,Suspense,Baixa
Uma Mentira Perfeita,Lisa Scottoline,HarperCollins,3.7,200,Suspense,Baixa
O Dom,Robert Ovies,Verus,3.7,184,Suspense,Baixa
Bodas de sangue,Pierre Lemaitre,Gutenberg,3.7,129,Suspense,Baixa
A jangada,Júlio Verne,Planeta,3.7,112,Suspense,Baixa
A Voz no Espelho,Diane Hoh,Rocco,3.6,77,Suspense,Baixa
Os Crimes do Monograma,Sophie Hannah,Nova,3.6,960,Suspense,Baixa
O Último Evangelho,David Gibbins,Planeta,3.6,84,Suspense,Baixa
Férias Infernais (Vacations from hell),Maureen Johnson,Galera,3.6,532,Suspense,Baixa
O Mistério do Relógio na Parede,John Bellairs,Galera,3.6,422,Suspense,Baixa
Os Justiceiros,Stephen King,Planeta,3.6,801,Suspense,Baixa
Não Voltarás,Hans Koppel,Verus,3.6,602,Suspense,Baixa
Em Um Bosque Muito Escuro,Ruth Ware,Rocco,3.6,527,Suspense,Baixa
A Outra Casa,Sophie Hannah,Rocco,3.6,155,Suspense,Baixa
A Caça,M.A. Bennett,Arqueiro,3.6,587,Suspense,Baixa
A Iniciação,Diane Hoh,Rocco,3.6,79,Suspense,Baixa
A exceção,Christian Jungersen,Intrínseca,3.6,188,Suspense,Baixa
Uma Mulher Perfeita,James Grippando,Casa,3.6,261,Suspense,Baixa
A Filha,Jane Shemilt,HarperCollins,3.6,343,Suspense,Baixa
A Marca do Assassino,Daniel Silva,Rocco,3.6,56,Suspense,Baixa
O Livro dos Horrores,Diane Hoh,Rocco,3.6,78,Suspense,Baixa
Fim de Semana Alucinante,R. L. Stine,Rocco,3.6,145,Suspense,Baixa
O Sussurro,Diane Hoh,Rocco,3.6,51,Suspense,Baixa
A Bíblia do diabo,Richard Dübell,Planeta,3.5,65,Suspense,Baixa
Caixão Fechado,Sophie Hannah,HarperCollins,3.5,150,Suspense,Baixa
A Verdade ou a Morte,Diane Hoh,Rocco,3.5,105,Suspense,Baixa
As Elizas,Sara Shepard,HarperCollins,3.5,198,Suspense,Baixa
Corpos Ocultos,Caroline Kepnes,Rocco,3.5,273,Suspense,Baixa
Todas as Garotas Desaparecidas,Megan Miranda,Verus,3.5,921,Suspense,Baixa
Todas as Garotas Desaparecidas,Megan Miranda,Verus,3.5,921,Suspense,Baixa
Verum,Courtney Cole,Verus,3.5,53,Suspense,Baixa
Noite de Tempestade,John Sandford,Arqueiro,3.5,176,Suspense,Baixa
Garotas Como Nós,Dana Mele,Universo,3.5,292,Suspense,Baixa
